157.00,48.55,166.76,69.98,149.87,72.60,137.52,99.86,125.20,122.60,184.29,65.48,184.30,102.46,148.60,110.89,154.42,126.48,144.69,123.26,96.65,154.42,64.82,205.10,164.16,127.80,110.90,144.69,107.68,206.39,152.47,44.03,1.00
188.18,49.18,176.50,75.20,158.34,70.00,138.16,95.96,121.31,118.05,194.70,81.03,200.52,120.64,194.69,157.03,140.14,126.49,129.10,121.93,86.87,158.31,55.71,208.98,151.18,131.04,114.16,170.67,75.83,221.98,187.54,43.99,1.00
194.66,53.10,177.16,75.20,159.63,67.38,137.55,90.79,144.03,111.53,194.68,82.97,185.62,117.39,157.66,116.73,140.13,127.13,129.74,121.94,96.61,165.47,57.00,210.28,150.52,132.32,112.84,171.31,80.36,218.07,195.32,48.53,1.00
189.50,52.47,175.20,71.95,158.98,69.33,134.94,84.93,166.77,94.68,190.81,75.85,166.12,85.58,147.26,81.04,140.78,125.19,131.04,121.29,96.61,165.48,55.70,210.91,149.88,129.10,112.23,173.88,75.17,221.31,190.80,47.26,1.00
190.79,52.47,174.58,73.87,158.97,69.33,136.22,91.40,164.18,95.32,191.45,77.78,169.37,100.53,149.21,85.60,138.85,126.49,129.10,121.94,96.61,167.40,57.66,210.27,149.22,131.68,112.22,173.26,79.09,220.67,193.38,47.91,1.00
190.17,51.81,175.19,73.24,158.98,69.34,136.23,90.79,163.52,95.94,191.45,77.14,169.39,100.51,147.95,85.60,140.13,123.90,129.75,121.28,95.96,168.06,55.70,210.29,149.87,128.45,112.20,173.91,75.19,220.66,193.38,47.27,1.00
155.08,44.69,160.92,66.09,143.37,66.76,130.39,97.92,158.98,95.96,179.76,65.46,164.82,96.65,139.48,90.14,149.87,120.01,138.82,117.39,95.99,141.44,84.91,199.88,160.92,123.24,112.19,143.40,128.45,204.43,151.18,41.41,1.00
158.34,43.99,147.95,64.77,127.14,60.23,126.48,96.62,159.62,95.96,169.33,68.04,171.97,100.51,142.73,90.75,141.44,118.70,127.77,117.41,116.77,163.50,96.65,200.56,153.79,120.00,147.28,144.68,127.79,200.53,153.79,38.14,1.00
186.90,59.57,168.70,68.69,149.24,58.96,142.72,90.77,172.60,100.50,186.89,77.14,183.62,107.03,157.02,90.12,147.89,118.07,133.01,116.75,126.48,164.19,101.82,200.55,159.00,121.94,153.77,153.76,139.50,204.42,189.47,53.09,1.00
188.85,60.90,168.04,69.98,147.94,60.26,138.85,90.79,169.37,100.51,186.23,78.43,181.70,107.04,154.44,90.14,146.61,120.00,132.97,116.77,120.00,162.87,101.79,201.18,158.98,122.60,162.21,155.07,141.42,205.06,189.46,54.41,1.00
184.96,59.61,167.40,69.97,147.92,60.90,138.19,91.44,170.01,99.86,185.59,76.51,181.05,107.02,154.41,90.11,147.26,118.70,132.97,116.74,121.28,160.27,101.81,200.56,159.64,121.94,161.57,155.07,142.06,204.42,186.25,52.45,1.00
179.73,62.84,164.82,68.05,145.97,60.92,138.17,95.33,165.47,112.87,184.93,74.52,216.12,68.70,202.47,49.23,147.91,118.05,134.30,116.10,120.65,159.62,101.80,200.52,158.98,121.92,158.29,153.77,139.48,205.74,181.05,55.71,1.00
181.05,55.04,165.46,69.33,145.33,62.84,137.56,95.33,164.83,112.88,185.59,74.54,220.01,70.65,203.78,44.66,147.90,118.70,134.29,116.11,119.36,161.57,101.79,200.52,158.98,122.58,157.01,154.44,140.13,205.09,181.06,49.18,1.00
